iter	Logloss
0	0.6777970248
1	0.6641305321
2	0.6514929716
3	0.6391472926
4	0.6296737644
5	0.6193119433
6	0.6101771763
7	0.6019329091
8	0.594462938
9	0.5884167976
10	0.5821543968
11	0.5756783729
12	0.570551366
13	0.5651441571
14	0.5611760108
15	0.5569266937
16	0.5533454801
17	0.5496186218
18	0.5470435733
19	0.5441874079
20	0.5413358712
21	0.5377797929
22	0.5362920206
23	0.5331599052
24	0.5306398099
25	0.5281701466
26	0.5267036882
27	0.5251536966
28	0.5234865327
29	0.5210253734
30	0.5192995963
31	0.5175682216
32	0.5151220251
33	0.5134648722
34	0.5116479191
35	0.5104181199
36	0.5096298837
37	0.5087226451
38	0.5066972897
39	0.5056620603
40	0.5045089049
41	0.5039187369
42	0.5025211718
43	0.50079012
44	0.4997790032
45	0.498534026
46	0.4973502992
47	0.4958363151
48	0.4948938225
49	0.4935463127
50	0.4929805264
51	0.4925301365
52	0.4910994165
53	0.4901617679
54	0.4890366004
55	0.4883747404
56	0.4875600233
57	0.4860757495
58	0.4850104869
59	0.484326667
60	0.4834792257
61	0.4826155836
62	0.4816991951
63	0.4810826539
64	0.4798309488
65	0.4789949717
66	0.4781036646
67	0.4774923981
68	0.4765733722
69	0.4759231917
70	0.4750903363
71	0.4745919364
72	0.4740802422
73	0.4734147222
74	0.4730781138
75	0.4721734587
76	0.4718688211
77	0.4709121731
78	0.4702473528
79	0.4699221549
80	0.4692010358
81	0.4683620446
82	0.4675053995
83	0.4666779264
84	0.4657772004
85	0.4653489316
86	0.4645990711
87	0.4641962606
88	0.46326168
89	0.4628970837
90	0.462191358
91	0.4616723977
92	0.4612811053
93	0.4606099339
94	0.4597240091
95	0.4592032189
96	0.458733668
97	0.4580510323
98	0.4575345478
99	0.4568656908
100	0.4562536169
101	0.4559129718
102	0.455632716
103	0.4547157893
104	0.4542974778
105	0.4536193094
106	0.4529326908
107	0.4524215348
108	0.4519460634
109	0.4515822207
110	0.451136917
111	0.4508869366
112	0.4506126821
113	0.4503286856
114	0.4498500656
115	0.4495095551
116	0.4491973823
117	0.4488508706
118	0.4487923651
119	0.4485819714
120	0.4484323438
121	0.4478584841
122	0.4471560685
123	0.4466639927
124	0.4463388756
125	0.4460082416
126	0.4455500742
127	0.4448278249
128	0.4442368496
129	0.4438459877
130	0.4433372
131	0.4431896176
132	0.4426646022
133	0.4424753879
134	0.4421048711
135	0.441613818
136	0.4412802506
137	0.4406612874
138	0.4402892636
139	0.439658863
140	0.4391668949
141	0.4384936782
142	0.4381048616
143	0.4374321832
144	0.4370692554
145	0.4366439739
146	0.4361701441
147	0.4357988738
148	0.4356605489
149	0.435350556
150	0.4351036973
151	0.4350930942
152	0.4349190041
153	0.4345070975
154	0.4339902363
155	0.4334409737
156	0.4332870672
157	0.4330757585
158	0.4326953922
159	0.4323366088
160	0.4317262034
161	0.4313236082
162	0.4309631563
163	0.4305055003
164	0.4302078597
165	0.4298983512
166	0.4295505207
167	0.428926848
168	0.4287249315
169	0.4280998324
170	0.4274293069
171	0.4269765756
172	0.4267611495
173	0.4261951749
174	0.4258544491
175	0.4253392833
176	0.424537403
177	0.4241936901
178	0.4234795141
179	0.4230242802
180	0.4226952608
181	0.4221400777
182	0.4216629378
183	0.4212246042
184	0.4206011468
185	0.4199055667
186	0.419319866
187	0.4188737819
188	0.4183032054
189	0.4177373923
190	0.417421452
191	0.4168989663
192	0.4165581597
193	0.4161297564
194	0.4156650765
195	0.4153498359
196	0.4148296107
197	0.4142519027
198	0.4138036119
199	0.413214036
200	0.4126873252
201	0.4123311791
202	0.4119487137
203	0.4114269546
204	0.4109244641
205	0.4106023341
206	0.4103155119
207	0.409694342
208	0.409034877
209	0.4087971144
210	0.4081515627
211	0.4079063994
212	0.4073982037
213	0.4070831783
214	0.4065394057
215	0.4060579868
216	0.4055410987
217	0.4051261512
218	0.4045549288
219	0.4039159166
220	0.4034713395
221	0.4030769523
222	0.4026277196
223	0.4021214615
224	0.401692816
225	0.4011566862
226	0.4008883791
227	0.4004016049
228	0.400179101
229	0.3997589865
230	0.3994281372
231	0.3988534971
232	0.3985066624
233	0.3980029878
234	0.3975377966
235	0.3970143152
236	0.3964818991
237	0.3959598709
238	0.3954800668
239	0.3951865975
240	0.3946159403
241	0.3943426546
242	0.3941150914
243	0.3938396797
244	0.3936805792
245	0.3932684843
246	0.3927292597
247	0.3923290865
248	0.3920359132
249	0.391576804
250	0.3909409134
251	0.390581861
252	0.3902838167
253	0.3899957028
254	0.389532799
255	0.3892750143
256	0.389019517
257	0.3887045455
258	0.3883305033
259	0.3880554953
260	0.3876736488
261	0.3875074706
262	0.3871915841
263	0.3869157418
264	0.3864687427
265	0.3860965036
266	0.3857429948
267	0.3854155633
268	0.3847186914
269	0.3840824511
270	0.3836995819
271	0.3833261318
272	0.3828777333
273	0.3824596102
274	0.3819878795
275	0.3814583699
276	0.3809273264
277	0.3806672811
278	0.3803350324
279	0.3800550727
280	0.3794040041
281	0.379024768
282	0.3788632455
283	0.3783869668
284	0.3781081642
285	0.3778768872
286	0.377551797
287	0.3771610159
288	0.3768930587
289	0.3765508258
290	0.3761119809
291	0.3758041947
292	0.3756299431
293	0.3751368447
294	0.3746300753
295	0.3742039056
296	0.3741873551
297	0.3738358647
298	0.3734003837
299	0.3731554358
300	0.3729521467
301	0.3725754134
302	0.3720828801
303	0.3717198717
304	0.3712724958
305	0.370965194
306	0.3705815983
307	0.3702858415
308	0.3698819007
309	0.3696834827
310	0.3693168681
311	0.3688660206
312	0.3685147724
313	0.368385759
314	0.3680653513
315	0.3679881424
316	0.3675616767
317	0.3673431827
318	0.3669430903
319	0.3666340392
320	0.3661671795
321	0.3656213347
322	0.3652215113
323	0.3648480881
324	0.36456428
325	0.3639895323
326	0.3637570174
327	0.3635648428
328	0.363030247
329	0.3626857536
330	0.3621926013
331	0.3619643385
332	0.3617355643
333	0.361575495
334	0.3613414731
335	0.3611017459
336	0.3606506025
337	0.3604349072
338	0.3599576866
339	0.3596713488
340	0.3593553546
341	0.3591565867
342	0.3587982877
343	0.3584038198
344	0.3581916769
345	0.3576730126
346	0.3575053005
347	0.3571293476
348	0.3567364674
349	0.3562367219
350	0.3559302544
351	0.3557730915
352	0.3556044913
353	0.355303137
354	0.354930871
355	0.3547119194
356	0.354303323
357	0.3540468569
358	0.3537473325
359	0.3535199577
360	0.3533267874
361	0.3530229303
362	0.3527292995
363	0.3524522462
364	0.3519112454
365	0.3516128513
366	0.3513121967
367	0.3509969829
368	0.3508744013
369	0.3504328652
370	0.3502669292
371	0.349798993
372	0.3495526995
373	0.3492615177
374	0.3488870449
375	0.3486489325
376	0.3483988444
377	0.348194156
378	0.3481327979
379	0.34785744
380	0.3478461102
381	0.3477317904
382	0.3474693769
383	0.3471173752
384	0.3468735306
385	0.3463456896
386	0.3460213259
387	0.3458539906
388	0.34560436
389	0.3452981078
390	0.345153082
391	0.3450189015
392	0.3447746263
393	0.3445202325
394	0.3442782717
395	0.3441299358
396	0.3439968318
397	0.3437646398
398	0.3434816391
399	0.3434706592
400	0.3433618293
401	0.3430998733
402	0.3428299515
403	0.3425685876
404	0.342206817
405	0.3420385667
406	0.341805702
407	0.3415116675
408	0.3410401252
409	0.3406502053
410	0.3403659397
411	0.3400586379
412	0.3398754517
413	0.3396258749
414	0.3392963174
415	0.338960624
416	0.3387741008
417	0.3384208343
418	0.3380932144
419	0.3377322242
420	0.3374342607
421	0.3373023946
422	0.3370144691
423	0.3367628202
424	0.336547717
425	0.3363609247
426	0.3360562333
427	0.3357717255
428	0.3355105768
429	0.3353114322
430	0.3349959762
431	0.3348746594
432	0.3344982221
433	0.3342619935
434	0.3339834062
435	0.3336902867
436	0.3334291919
437	0.3329002744
438	0.332729306
439	0.3323701727
440	0.3320097478
441	0.3317634273
442	0.3314888767
443	0.3313254435
444	0.3309511861
445	0.3305925642
446	0.3302561173
447	0.329936194
448	0.3296445816
449	0.3293187109
450	0.3289825601
451	0.3288591442
452	0.3287478116
453	0.3287206848
454	0.3284812537
455	0.3281044935
456	0.3278331723
457	0.3274533711
458	0.3273674697
459	0.3272155546
460	0.3269720599
461	0.3267011155
462	0.3264525345
463	0.3263248935
464	0.326115953
465	0.3259791621
466	0.3256522419
467	0.3254228219
468	0.3251694237
469	0.3247919907
470	0.3245891591
471	0.3243957197
472	0.3242255855
473	0.3239953581
474	0.3238260582
475	0.3234925447
476	0.3233757221
477	0.3232543515
478	0.3229930952
479	0.3228132729
480	0.3227063537
481	0.3223047542
482	0.3220735849
483	0.3219271329
484	0.3216082322
485	0.3213233477
486	0.3210984218
487	0.3208794972
488	0.3207684337
489	0.320566867
490	0.3204048601
491	0.3201749825
492	0.3201053357
493	0.3199532322
494	0.3198761578
495	0.3197524998
496	0.3195562884
497	0.3193759817
498	0.3190919045
499	0.3187342783
