iter	Passed	Remaining
0	148	73992
1	154	38475
2	161	26803
3	169	21055
4	178	17669
5	185	15298
6	192	13592
7	200	12303
8	207	11323
9	214	10521
10	221	9852
11	228	9301
12	234	8789
13	241	8371
14	247	7986
15	252	7639
16	258	7340
17	263	7045
18	268	6798
19	273	6572
20	278	6355
21	283	6160
22	288	5973
23	292	5810
24	297	5655
25	302	5514
26	306	5376
27	310	5237
28	316	5136
29	321	5042
30	325	4925
31	330	4829
32	335	4742
33	339	4659
34	345	4585
35	350	4512
36	354	4440
37	359	4376
38	364	4307
39	368	4240
40	373	4177
41	377	4120
42	382	4065
43	387	4011
44	391	3958
45	395	3907
46	400	3863
47	405	3821
48	410	3780
49	415	3735
50	418	3688
51	422	3639
52	425	3592
53	429	3544
54	432	3500
55	436	3461
56	441	3428
57	445	3395
58	449	3362
59	453	3326
60	457	3291
61	461	3257
62	464	3224
63	468	3192
64	472	3159
65	475	3129
66	479	3101
67	484	3075
68	487	3047
69	491	3020
70	495	2994
71	499	2969
72	503	2943
73	506	2918
74	510	2895
75	514	2870
76	518	2849
77	522	2829
78	526	2806
79	530	2782
80	534	2762
81	537	2741
82	542	2724
83	546	2704
84	549	2682
85	553	2663
86	557	2644
87	560	2625
88	564	2607
89	568	2589
90	573	2575
91	577	2559
92	580	2542
93	585	2528
94	589	2513
95	593	2496
96	596	2480
97	600	2463
98	604	2446
99	607	2428
100	610	2411
101	613	2394
102	617	2380
103	621	2365
104	624	2349
105	628	2334
106	631	2319
107	635	2305
108	638	2290
109	642	2276
110	645	2263
111	649	2251
112	653	2237
113	658	2228
114	662	2218
115	667	2208
116	671	2199
117	676	2189
118	680	2179
119	685	2169
120	689	2159
121	694	2150
122	698	2141
123	703	2131
124	707	2122
125	711	2112
126	715	2100
127	719	2091
128	724	2082
129	728	2072
130	731	2061
131	735	2051
132	740	2042
133	744	2032
134	748	2023
135	752	2013
136	756	2004
137	760	1994
138	764	1984
139	767	1974
140	771	1964
141	775	1954
142	779	1945
143	783	1936
144	787	1927
145	790	1917
146	794	1907
147	798	1898
148	802	1889
149	806	1881
150	810	1873
151	813	1862
152	817	1854
153	821	1846
154	826	1838
155	830	1830
156	833	1821
157	837	1812
158	842	1806
159	847	1800
160	851	1793
161	856	1786
162	860	1778
163	864	1771
164	868	1763
165	872	1755
166	876	1746
167	879	1738
168	882	1728
169	885	1719
170	888	1709
171	891	1700
172	894	1690
173	896	1679
174	898	1669
175	901	1659
176	903	1649
177	906	1639
178	908	1629
179	911	1620
180	913	1610
181	915	1600
182	918	1590
183	920	1581
184	923	1572
185	926	1563
186	928	1554
187	931	1545
188	933	1536
189	936	1527
190	938	1518
191	941	1510
192	944	1501
193	946	1492
194	949	1484
195	951	1476
196	954	1468
197	957	1459
198	959	1451
199	962	1443
200	964	1435
201	967	1426
202	969	1418
203	972	1410
204	974	1402
205	977	1394
206	979	1386
207	982	1379
208	984	1371
209	987	1363
210	989	1355
211	992	1347
212	994	1340
213	997	1332
214	999	1325
215	1002	1317
216	1004	1310
217	1007	1303
218	1010	1296
219	1012	1289
220	1015	1281
221	1017	1274
222	1020	1267
223	1022	1260
224	1025	1253
225	1028	1246
226	1030	1239
227	1032	1232
228	1034	1224
229	1037	1217
230	1039	1210
231	1042	1204
232	1044	1197
233	1047	1190
234	1049	1183
235	1052	1177
236	1054	1170
237	1057	1163
238	1059	1156
239	1062	1150
240	1064	1143
241	1066	1137
242	1069	1131
243	1072	1125
244	1075	1118
245	1078	1113
246	1081	1107
247	1084	1102
248	1088	1097
249	1091	1091
250	1095	1086
251	1099	1081
252	1102	1076
253	1106	1071
254	1110	1066
255	1113	1061
256	1117	1056
257	1120	1051
258	1124	1046
259	1128	1041
260	1132	1036
261	1136	1031
262	1139	1027
263	1143	1022
264	1148	1018
265	1152	1013
266	1156	1009
267	1161	1005
268	1165	1000
269	1169	995
270	1172	991
271	1177	986
272	1181	982
273	1185	977
274	1189	973
275	1193	968
276	1197	963
277	1200	958
278	1205	954
279	1209	950
280	1213	945
281	1216	940
282	1220	936
283	1225	931
284	1229	927
285	1233	922
286	1237	918
287	1241	913
288	1245	909
289	1249	904
290	1252	899
291	1256	894
292	1259	889
293	1262	884
294	1266	880
295	1270	875
296	1274	871
297	1278	866
298	1282	862
299	1286	857
300	1289	852
301	1293	848
302	1298	844
303	1302	839
304	1306	835
305	1311	831
306	1315	826
307	1319	822
308	1323	818
309	1327	813
310	1331	809
311	1335	805
312	1339	800
313	1343	796
314	1347	791
315	1352	787
316	1356	783
317	1360	778
318	1364	774
319	1367	769
320	1371	764
321	1374	760
322	1378	755
323	1382	750
324	1385	746
325	1389	741
326	1393	737
327	1397	732
328	1401	728
329	1405	724
330	1409	719
331	1413	715
332	1417	710
333	1421	706
334	1425	701
335	1429	697
336	1434	693
337	1439	689
338	1444	685
339	1448	681
340	1452	677
341	1456	673
342	1460	668
343	1464	664
344	1468	659
345	1472	655
346	1476	650
347	1480	646
348	1483	641
349	1487	637
350	1490	632
351	1494	628
352	1497	623
